epoch,train_loss,val_loss,best_val_loss,patience,lr,epoch_time_s,improved
194,1.040925,1.059470,1.059470,0,4.07e-05,4.2,1
195,1.042045,1.058256,1.058256,0,3.93e-05,4.3,1
196,1.040938,1.057963,1.057963,0,3.79e-05,4.2,1
197,1.039718,1.057232,1.057232,0,3.66e-05,4.2,1
198,1.040600,1.057391,1.057232,1,3.53e-05,4.2,0
199,1.040247,1.056672,1.056672,0,3.40e-05,4.2,1
200,1.038987,1.056023,1.056023,0,3.27e-05,4.2,1
201,1.039236,1.055600,1.055600,0,3.15e-05,4.2,1
202,1.038745,1.054906,1.054906,0,3.02e-05,4.2,1
203,1.039288,1.054041,1.054041,0,2.90e-05,4.2,1
204,1.039827,1.054511,1.054041,1,2.79e-05,4.2,0
205,1.037938,1.054190,1.054041,2,2.67e-05,4.2,0
206,1.038540,1.053682,1.053682,0,2.56e-05,4.2,1
207,1.039054,1.053366,1.053366,0,2.44e-05,4.2,1
208,1.038724,1.052717,1.052717,0,2.34e-05,4.2,1
209,1.037245,1.051967,1.051967,0,2.23e-05,4.2,1
210,1.038375,1.051686,1.051686,0,2.12e-05,4.2,1
211,1.037019,1.051173,1.051173,0,2.02e-05,4.2,1
212,1.036952,1.050472,1.050472,0,1.92e-05,4.2,1
213,1.037446,1.050687,1.050472,1,1.82e-05,4.2,0
214,1.035573,1.050680,1.050472,2,1.73e-05,4.2,0
215,1.035990,1.050570,1.050472,3,1.63e-05,4.2,0
216,1.035438,1.049996,1.049996,0,1.54e-05,4.3,1
217,1.035757,1.049722,1.049722,0,1.46e-05,4.2,1
218,1.034838,1.049433,1.049433,0,1.37e-05,4.2,1
219,1.035679,1.049329,1.049329,0,1.29e-05,4.2,1
220,1.035553,1.049284,1.049284,0,1.21e-05,4.2,1
221,1.035592,1.048815,1.048815,0,1.13e-05,4.2,1
222,1.034214,1.048354,1.048354,0,1.05e-05,4.2,1
223,1.033980,1.048296,1.048296,0,9.80e-06,4.2,1
224,1.034233,1.048193,1.048193,0,9.10e-06,4.2,1
225,1.033871,1.048222,1.048193,1,8.42e-06,4.2,0
226,1.033659,1.048479,1.048193,2,7.76e-06,4.2,0
227,1.033619,1.048374,1.048193,3,7.13e-06,4.2,0
228,1.034508,1.048314,1.048193,4,6.53e-06,4.2,0
229,1.033751,1.048084,1.048084,0,5.96e-06,4.2,1
230,1.034608,1.047791,1.047791,0,5.41e-06,4.2,1
231,1.034169,1.047555,1.047555,0,4.88e-06,4.2,1
232,1.034700,1.047452,1.047452,0,4.38e-06,4.2,1
233,1.033677,1.047431,1.047431,0,3.91e-06,4.2,1
234,1.033358,1.047402,1.047402,0,3.47e-06,4.2,1
235,1.034186,1.047420,1.047402,1,3.05e-06,4.2,0
236,1.034381,1.047354,1.047354,0,2.66e-06,4.2,1
237,1.034272,1.047274,1.047274,0,2.29e-06,4.2,1
238,1.033856,1.047215,1.047215,0,1.95e-06,4.2,1
239,1.036359,1.047210,1.047210,0,1.64e-06,4.2,1
240,1.034472,1.047186,1.047186,0,1.36e-06,4.2,1
